*All Inputs are case sensitive.  For Example:  FAM is different from Fam,,,,,,,,,,
*Do not change column header names and do not delete [Sample Setup].,,,,,,,,,,
*Minimal columns needed are:  Well and Well Position,,,,,,,,,,
[Sample Setup],,,,,,,,,,
Well,Well Position,Sample Name,Biogroup Name,Biogroup Color,Target Name,Task,Target Color,Quencher,Reporter,Comments
219,J3,,,,CORONAVIRUS OC43,UNKNOWN,"RGB(0,0,255)",UNKNOWN,VIC,None
219,J3,,,,RSV A,UNKNOWN,"RGB(238,238,0)",UNKNOWN,CY5,None
243,K3,,,,M CATARRHALIS,UNKNOWN,"RGB(238,121,66)",UNKNOWN,VIC,None
243,K3,,,,RSV B,UNKNOWN,"RGB(198,113,113)",UNKNOWN,CY5,None
243,K3,,,,S AUREUS,UNKNOWN,"RGB(142,56,142)",UNKNOWN,ROX,None
243,K3,,,,S PYOGENES,UNKNOWN,"RGB(139,137,112)",UNKNOWN,FAM,None
267,L3,,,,HUMAN BOCOVIRUS,UNKNOWN,"RGB(238,220,130)",UNKNOWN,VIC,None
267,L3,,,,HUMAN METAPNEUMOVIRUS,UNKNOWN,"RGB(255,127,0)",UNKNOWN,ROX,None
267,L3,,,,HUMAN RHINOVIRUS,UNKNOWN,"RGB(0,245,255)",UNKNOWN,FAM,None
267,L3,,,,PARAINFLUENZA 1,UNKNOWN,"RGB(142,142,56)",UNKNOWN,CY5,None
291,M3,,,,CORONAVIRUS HKU1,UNKNOWN,"RGB(238,18,137)",UNKNOWN,ROX,None
291,M3,,,,ENTEROVIRUS,UNKNOWN,"RGB(51,161,201)",UNKNOWN,VIC,None
291,M3,,,,PARAINFLUENZA 2,UNKNOWN,"RGB(238,44,44)",UNKNOWN,FAM,None
291,M3,,,,PARAINFLUENZA 3,UNKNOWN,"RGB(176,23,31)",UNKNOWN,CY5,None
315,N3,,,,ADENVIRUS,UNKNOWN,"RGB(0,0,255)",UNKNOWN,FAM,None
315,N3,,,,EBV,UNKNOWN,"RGB(238,238,0)",UNKNOWN,ROX,None
315,N3,,,,K PNEUMOPHILA,UNKNOWN,"RGB(0,139,69)",UNKNOWN,VIC,None
315,N3,,,,PARAINFLUENZA 4,UNKNOWN,"RGB(139,137,112)",UNKNOWN,CY5,None
339,O3,,,,C PNEUMONIAE,UNKNOWN,"RGB(142,56,142)",UNKNOWN,VIC,None
339,O3,,,,L PNEUMOPHILA,UNKNOWN,"RGB(238,121,66)",UNKNOWN,FAM,None
339,O3,,,,M PNEUMONIAE,UNKNOWN,"RGB(198,113,113)",UNKNOWN,ROX,None
339,O3,,,,MS2 (EC),UNKNOWN,"RGB(0,245,255)",UNKNOWN,CY5,None
363,P3,,,,B PERTUSSIS,UNKNOWN,"RGB(142,142,56)",UNKNOWN,ROX,None
363,P3,,,,BACILLUS (EC),UNKNOWN,"RGB(238,44,44)",UNKNOWN,CY5,None
363,P3,,,,H INFLUENZAE,UNKNOWN,"RGB(238,220,130)",UNKNOWN,FAM,None
363,P3,,,,S PNEUMONIAE,UNKNOWN,"RGB(255,127,0)",UNKNOWN,VIC,None
4,A4,,,,FLU A,UNKNOWN,"RGB(0,0,255)",UNKNOWN,VIC,None
4,A4,,,,FLU B,UNKNOWN,"RGB(0,139,69)",UNKNOWN,ROX,None
4,A4,,,,RNASE P,UNKNOWN,"RGB(139,137,112)",UNKNOWN,CY5,None
4,A4,,,,SARS-COV-2,UNKNOWN,"RGB(176,23,31)",UNKNOWN,FAM,None
28,B4,,,,CORONAVIRUS 229E,UNKNOWN,"RGB(176,23,31)",UNKNOWN,FAM,None
28,B4,,,,CORONAVIRUS NL63,UNKNOWN,"RGB(0,139,69)",UNKNOWN,ROX,None
28,B4,,,,CORONAVIRUS OC43,UNKNOWN,"RGB(0,0,255)",UNKNOWN,VIC,None
28,B4,,,,RSV A,UNKNOWN,"RGB(238,238,0)",UNKNOWN,CY5,None
52,C4,,,,M CATARRHALIS,UNKNOWN,"RGB(238,121,66)",UNKNOWN,VIC,None
52,C4,,,,RSV B,UNKNOWN,"RGB(198,113,113)",UNKNOWN,CY5,None
52,C4,,,,S AUREUS,UNKNOWN,"RGB(142,56,142)",UNKNOWN,ROX,None
52,C4,,,,S PYOGENES,UNKNOWN,"RGB(139,137,112)",UNKNOWN,FAM,None
76,D4,,,,HUMAN BOCOVIRUS,UNKNOWN,"RGB(238,220,130)",UNKNOWN,VIC,None
76,D4,,,,HUMAN METAPNEUMOVIRUS,UNKNOWN,"RGB(255,127,0)",UNKNOWN,ROX,None
76,D4,,,,HUMAN RHINOVIRUS,UNKNOWN,"RGB(0,245,255)",UNKNOWN,FAM,None
76,D4,,,,PARAINFLUENZA 1,UNKNOWN,"RGB(142,142,56)",UNKNOWN,CY5,None
100,E4,,,,CORONAVIRUS HKU1,UNKNOWN,"RGB(238,18,137)",UNKNOWN,ROX,None
100,E4,,,,ENTEROVIRUS,UNKNOWN,"RGB(51,161,201)",UNKNOWN,VIC,None
100,E4,,,,PARAINFLUENZA 2,UNKNOWN,"RGB(238,44,44)",UNKNOWN,FAM,None
100,E4,,,,PARAINFLUENZA 3,UNKNOWN,"RGB(176,23,31)",UNKNOWN,CY5,None
124,F4,,,,ADENVIRUS,UNKNOWN,"RGB(0,0,255)",UNKNOWN,FAM,None
124,F4,,,,EBV,UNKNOWN,"RGB(238,238,0)",UNKNOWN,ROX,None
124,F4,,,,K PNEUMOPHILA,UNKNOWN,"RGB(0,139,69)",UNKNOWN,VIC,None
124,F4,,,,PARAINFLUENZA 4,UNKNOWN,"RGB(139,137,112)",UNKNOWN,CY5,None
148,G4,,,,C PNEUMONIAE,UNKNOWN,"RGB(142,56,142)",UNKNOWN,VIC,None
148,G4,,,,L PNEUMOPHILA,UNKNOWN,"RGB(238,121,66)",UNKNOWN,FAM,None
148,G4,,,,M PNEUMONIAE,UNKNOWN,"RGB(198,113,113)",UNKNOWN,ROX,None
148,G4,,,,MS2 (EC),UNKNOWN,"RGB(0,245,255)",UNKNOWN,CY5,None
172,H4,,,,B PERTUSSIS,UNKNOWN,"RGB(142,142,56)",UNKNOWN,ROX,None
172,H4,,,,BACILLUS (EC),UNKNOWN,"RGB(238,44,44)",UNKNOWN,CY5,None
172,H4,,,,H INFLUENZAE,UNKNOWN,"RGB(238,220,130)",UNKNOWN,FAM,None
172,H4,,,,S PNEUMONIAE,UNKNOWN,"RGB(255,127,0)",UNKNOWN,VIC,None
196,I4,,,,FLU A,UNKNOWN,"RGB(0,0,255)",UNKNOWN,VIC,None
196,I4,,,,FLU B,UNKNOWN,"RGB(0,139,69)",UNKNOWN,ROX,None
196,I4,,,,RNASE P,UNKNOWN,"RGB(139,137,112)",UNKNOWN,CY5,None
196,I4,,,,SARS-COV-2,UNKNOWN,"RGB(176,23,31)",UNKNOWN,FAM,None
220,J4,,,,CORONAVIRUS 229E,UNKNOWN,"RGB(176,23,31)",UNKNOWN,FAM,None
220,J4,,,,CORONAVIRUS NL63,UNKNOWN,"RGB(0,139,69)",UNKNOWN,ROX,None
220,J4,,,,CORONAVIRUS OC43,UNKNOWN,"RGB(0,0,255)",UNKNOWN,VIC,None
220,J4,,,,RSV A,UNKNOWN,"RGB(238,238,0)",UNKNOWN,CY5,None
244,K4,,,,M CATARRHALIS,UNKNOWN,"RGB(238,121,66)",UNKNOWN,VIC,None
244,K4,,,,RSV B,UNKNOWN,"RGB(198,113,113)",UNKNOWN,CY5,None
244,K4,,,,S AUREUS,UNKNOWN,"RGB(142,56,142)",UNKNOWN,ROX,None
244,K4,,,,S PYOGENES,UNKNOWN,"RGB(139,137,112)",UNKNOWN,FAM,None
268,L4,,,,HUMAN BOCOVIRUS,UNKNOWN,"RGB(238,220,130)",UNKNOWN,VIC,None
268,L4,,,,HUMAN METAPNEUMOVIRUS,UNKNOWN,"RGB(255,127,0)",UNKNOWN,ROX,None
268,L4,,,,HUMAN RHINOVIRUS,UNKNOWN,"RGB(0,245,255)",UNKNOWN,FAM,None
268,L4,,,,PARAINFLUENZA 1,UNKNOWN,"RGB(142,142,56)",UNKNOWN,CY5,None
292,M4,,,,CORONAVIRUS HKU1,UNKNOWN,"RGB(238,18,137)",UNKNOWN,ROX,None
292,M4,,,,ENTEROVIRUS,UNKNOWN,"RGB(51,161,201)",UNKNOWN,VIC,None
292,M4,,,,PARAINFLUENZA 2,UNKNOWN,"RGB(238,44,44)",UNKNOWN,FAM,None
292,M4,,,,PARAINFLUENZA 3,UNKNOWN,"RGB(176,23,31)",UNKNOWN,CY5,None
316,N4,,,,ADENVIRUS,UNKNOWN,"RGB(0,0,255)",UNKNOWN,FAM,None
316,N4,,,,EBV,UNKNOWN,"RGB(238,238,0)",UNKNOWN,ROX,None
316,N4,,,,K PNEUMOPHILA,UNKNOWN,"RGB(0,139,69)",UNKNOWN,VIC,None
316,N4,,,,PARAINFLUENZA 4,UNKNOWN,"RGB(139,137,112)",UNKNOWN,CY5,None
340,O4,,,,C PNEUMONIAE,UNKNOWN,"RGB(142,56,142)",UNKNOWN,VIC,None
340,O4,,,,L PNEUMOPHILA,UNKNOWN,"RGB(238,121,66)",UNKNOWN,FAM,None
340,O4,,,,M PNEUMONIAE,UNKNOWN,"RGB(198,113,113)",UNKNOWN,ROX,None
340,O4,,,,MS2 (EC),UNKNOWN,"RGB(0,245,255)",UNKNOWN,CY5,None
